finnkode;type;dato;verdi
408454142;PRICE_REDUCED;2025-09-15;1085000
415605676;BUMP;2025-07-05;
415605676;PRICE_REDUCED;2025-08-21;3290000
359077647;BUMP;2025-04-25;
359077647;PRICE_REDUCED;2025-09-09;2400000
359077647;PRICE_REDUCED;2025-10-06;2350000
430413183;BUMP;2025-10-05;
369336242;BUMP;2025-04-28;
369336242;PRICE_REDUCED;2025-10-01;1490000
422688604;BUMP;2025-08-20;
401222113;BUMP;2025-04-04;
401222113;PRICE_REDUCED;2025-10-01;1099000
418004590;BUMP;2025-07-24;
418004590;PRICE_REDUCED;2025-08-28;749000
424396137;BUMP;2025-08-29;
421811121;BUMP;2025-08-14;
429403492;BUMP;2025-09-29;
429403492;PRICE_REDUCED;2025-10-08;1349000
422030629;BUMP;2025-08-17;
422030629;PRICE_REDUCED;2025-08-23;1360000
422030629;PRICE_REDUCED;2025-09-19;1250000
413200151;BUMP;2025-06-18;
413200151;PRICE_REDUCED;2025-09-15;919000
427531653;BUMP;2025-09-17;
421691002;BUMP;2025-08-13;
426711356;BUMP;2025-09-12;
416771435;BUMP;2025-07-30;
406877349;BUMP;2025-05-09;
414057110;BUMP;2025-06-24;
408762335;BUMP;2025-05-21;
408762335;PRICE_REDUCED;2025-08-21;1190000
425303875;BUMP;2025-09-04;
408481527;BUMP;2025-05-19;
423024229;BUMP;2025-08-21;
423024229;PRICE_RAISED;2025-08-21;1500000
423009709;BUMP;2025-08-21;
423009709;PRICE_RAISED;2025-08-21;390000
412896626;BUMP;2025-06-24;
341902730;BUMP;2025-06-11;
422706543;BUMP;2025-08-19;
407533450;BUMP;2025-05-13;
406733159;BUMP;2025-05-08;
355862885;BUMP;2025-07-31;
414213414;BUMP;2025-06-26;
412861481;BUMP;2025-06-16;
412876425;BUMP;2025-06-16;
412222331;BUMP;2025-06-11;
398334181;BUMP;2025-03-17;
406537007;BUMP;2025-05-06;
417253248;BUMP;2025-07-18;
411234147;BUMP;2025-06-05;
403065174;BUMP;2025-04-15;
402355143;BUMP;2025-04-10;
413301370;BUMP;2025-06-19;
402159737;BUMP;2025-04-10;
403081687;BUMP;2025-04-15;
414167713;BUMP;2025-06-25;
408141372;BUMP;2025-05-16;
403247167;BUMP;2025-04-16;
406543909;BUMP;2025-05-06;
412322618;BUMP;2025-06-12;
361851362;BUMP;2025-05-28;
408103983;BUMP;2025-06-16;
366536700;BUMP;2025-03-14;
413066759;BUMP;2025-06-17;
407773129;BUMP;2025-05-13;
407772528;BUMP;2025-05-13;
409058218;BUMP;2025-05-26;
404439052;BUMP;2025-04-24;
359402923;BUMP;2025-05-23;
409130235;BUMP;2025-05-26;
403614418;BUMP;2025-04-19;
407517760;BUMP;2025-05-15;
381568135;BUMP;2025-05-23;
383350736;BUMP;2025-06-17;
370202631;BUMP;2025-05-23;
315481254;BUMP;2025-03-04;
401264658;BUMP;2025-04-04;
406500254;BUMP;2025-05-06;
406501609;BUMP;2025-05-06;
402905720;BUMP;2025-04-15;
369051868;BUMP;2025-04-28;
358032896;BUMP;2025-05-07;
371152044;BUMP;2025-04-07;
404595185;BUMP;2025-04-25;
401118797;BUMP;2025-04-03;
376881141;BUMP;2025-04-24;
404506629;BUMP;2025-04-24;
354009948;BUMP;2025-03-07;
400057993;BUMP;2025-03-28;
365670078;BUMP;2025-03-12;
397844327;BUMP;2025-03-14;
401773858;BUMP;2025-04-08;
404475287;BUMP;2025-04-24;
405212046;BUMP;2025-04-28;
401110051;BUMP;2025-04-03;
401114723;BUMP;2025-04-03;
355050431;BUMP;2025-03-27;
397817485;BUMP;2025-03-14;
399559415;BUMP;2025-03-25;
357045493;BUMP;2025-03-12;
399935127;BUMP;2025-03-27;
397834501;BUMP;2025-03-14;
398933391;BUMP;2025-03-21;
398427080;BUMP;2025-03-18;
396440848;BUMP;2025-03-05;
294157725;BUMP;2025-03-04;
360443075;BUMP;2025-03-04;
353279937;BUMP;2025-02-19;
