461631110;SOLD;2026-04-28;Axopar 28 Aft Cabin;2022;1280000;Axopar 28 aft Cabin - meget pen og velholdt - Skipsregistrer
464230659;PUBLISHED;2026-05-20;Nimbus C11;2021;4090000;Nimbus C11 - 2021 - Meget godt utstyrt - Joystick+ Skyhook
344830447;EXPIRED;2025-03-12;Nimbus C11;2021;4090000;Nimbus C11 - 2021 - Meget godt utstyrt - Joystick+ Skyhook
463514894;PUBLISHED;2026-05-13;Goldfish 28 RIB;2005;690000;Goldfish 28 RIB - Volvo Penta D6-350 - Skikkelig klassiker!
462858901;PUBLISHED;2026-05-08;Cormate Chase 34;2021;2490000;Cormate Chase 34 - 2021 - 2 x Mercruiser 350 V8 - 60 knop!
462731272;PUBLISHED;2026-05-07;Andre Campi 400;2023;1990000;Campi 400 - Hytte på sjøen - Finans mulig
414494894;SOLD;2025-06-27;Goldfish 23 Tender;2021;1140000;Goldfish 23 Tender - 2021 - Fullspekket!
438107098;EXPIRED;2025-11-20;Bavaria S30 Open;2021;1890000;Bavaria S30 Open - Volvo Penta - Kun 130 Timer - Finans muli
442884965;EXPIRED;2025-12-22;Andre Aegean Yacht;2006;84750000;Donna del Mare - Aeagean Yacht 38,4
418025396;PUBLISHED;2025-07-24;Jeanneau Sun Odyssey 519;2018;2490000;Jeanneau Sun Odyssey 519 - sertifikatfri
;DRAFT;;Cormate SU23;2016;775000;Cormate Super Utility 23 - Én eier - 154t
450417966;HIDDEN;2026-03-15;Malö Yachts 42;1997;2600000;Kommer for salg - Malö 42 - Sjelden mulighet
452637147;PUBLISHED;2026-02-25;;;1350000;Ønskes kjøpt: Axopar 28 Cabin med V8
438067333;EXPIRED;2025-11-20;Azimut undefined;2013;3850000;Azimut 40S - Klar for ny sesong
453796386;SOLD;2026-03-04;Goldfish 28 Bullet;2021;1340000;Goldfish 28 Bullet - 2021 - Mercury 8,2l 430 HK
;DRAFT;;undefined undefined;;;
;DRAFT;;undefined undefined;;;
414445002;SOLD;2025-06-27;Jeanneau Cap Camarat 925 WA;2008;475000;Jeanneau Cap Camarat 925 WA - Få timer!
437773498;SOLD;2025-11-19;Bavaria 36AC;2004;670000;Bavaria 36 AC - Perfekt førstegangsbåt og familieseiler
461109485;SOLD;2026-04-24;Goldfish 30 Sport;2021;1750000;Kommer for salg: Goldfish 30 Sport - 2021 - Svært godt utsty
434759926;SOLD;2025-10-30;Nimbus 300R;2005;930000;Kommer for salg: Nimbus 300R - 2005 - D6-350HK - Oppgradert
431865157;PUBLISHED;2025-10-13;Lagoon 52F;2018;8950000;Lagoon 52F - 2018 - 6+2 lugarer - Kan kjøpes ex.mva!
426364108;SOLD;2025-09-11;Bavaria undefined;2005;1050000;Bavaria 35 Sport - Mye utstyr - Høstpris!
430069542;PUBLISHED;2025-10-03;Goldfish undefined;2009;789000;Goldfish 29 RIB Tender - 420hk - #72
429581975;SOLD;2025-09-30;Nimbus W9;2020;1590000;Nimbus W9 - Kun 165 timer - Foliert
448547059;SOLD;2026-02-03;Nord West 370 Flybridge;2009;2200000;Nord West 370 Fly - Volvo Penta D4 - Finans mulig!
446092413;SOLD;2026-01-15;Scand 360 SE;2005;750000;Scand 360 SE
423937811;SOLD;2025-08-26;Nordkapp 905 Grand Coupe;2021;1420000;Nordkapp 905 Grand Coupe - kan selges momsfritt
456945578;SOLD;2026-03-23;Fairline Targa;2002;950000;Fairline Targa 34
450311073;SOLD;2026-02-09;Ibiza 811;2022;1250000;Ibiza 811 Touring - Suzuki DF350A - Duoprop - 270 Timer
436021051;SOLD;2025-11-07;Hanse 388;2021;1950000;Hanse 388: Perfekt kombinasjon av plass og seilglede!
