# ----------------------------------------
# Sider og skjermer: Sidebane og skjermklasse
# Konto: House of Yachts
# Område: House of Yachts - GA4
# ----------------------------------------
# 
# Alle brukere
# Startdato: 20250101
# Sluttdato: 20260418
Sidebane og skjermklasse,Visninger,Aktive brukere,Visninger per aktive bruker,Gjennomsnittlig engasjementstid per aktive bruker,Antall hendelser,Viktige hendelser,Totale inntekter
/Baater/hydrolift-x-26-s---400r,106,75,1.4133333333333333,43.946666666666665,218,0,0
/Baater/targa-27.1,105,88,1.1931818181818181,30.681818181818183,351,0,0
/Baater/nimbus-w9-t-top-mercury-300,103,71,1.4507042253521127,25.380281690140844,194,0,0
/Baater/grand-banks-eastbay-45sx,102,54,1.8888888888888888,85.29629629629629,186,0,0
/Baater/candela-c-8,100,84,1.1904761904761905,41.01190476190476,256,0,0
/Baater/goldfish-28-bullet-,100,77,1.2987012987012987,24.92207792207792,218,1,0
/Baater/hydrolift-x-32s-r,99,80,1.2375,25.975,262,0,0
/Baater/windy-44-chinook,99,77,1.2857142857142858,28.844155844155843,344,0,0
/en/Baater/paragon-31-fly,99,47,2.106382978723404,36.87234042553192,261,1,0
/Baater/goldfish-30-sport---diesel,98,79,1.240506329113924,37.11392405063291,235,0,0
/en/Baater/viksund-290/310-st.-cruz,98,79,1.240506329113924,40.51898734177215,345,0,0
/Baater/sargo-25,97,56,1.7321428571428572,53.92857142857143,270,0,0
/Baater/windy-37-grand-mistral,97,63,1.5396825396825398,47.80952380952381,256,1,0
/Baater/beneteau-oceanis-37,92,54,1.7037037037037037,43.574074074074076,175,0,0
/Baater/brig-eagle-8---2022,92,71,1.295774647887324,45.83098591549296,178,0,0
/Baater/bavaria-40-cruiser,90,80,1.125,29.15,327,0,0
/Baater/goldfish-23-tender-mkiii,86,66,1.303030303030303,36.60606060606061,255,0,0
/post/solgt-nordic-star-32,86,65,1.323076923076923,22.56923076923077,297,0,0
/Baater/goldfish-32-sc-2001,85,64,1.328125,36.96875,193,0,0
/post/hvilken-goldfish-er-best-sammenligner-3-generasjoner-goldfish-23-tender,85,69,1.2318840579710144,42.927536231884055,296,0,0
/Baater/dufour-385-gl,84,52,1.6153846153846154,49.63461538461539,227,1,0
/Baater/ibiza-811-touring,84,62,1.3548387096774193,29.903225806451612,217,0,0
/Baater/marex-280-holiday,84,66,1.2727272727272727,46.984848484848484,297,0,0
/verdivurdering,84,76,1.105263157894737,37.93421052631579,151,0,0
/Baater/1912-anker-&-jensen-9mr-flirt-iv,83,63,1.3174603174603174,42.301587301587304,141,0,0
/Baater/nimbus-230r---2007,83,69,1.2028985507246377,31.666666666666668,184,1,0
/Baater/elan-power-35-ht,82,53,1.5471698113207548,40.132075471698116,213,1,0
/Baater/askeladden-c83-cruiser,79,64,1.234375,35.8125,271,0,0
/Baater/nimbus-t11,79,65,1.2153846153846153,32.90769230769231,143,0,0
/Baater/aquador-26-dc,78,66,1.1818181818181819,31.12121212121212,262,0,0
/Baater/axopar-28-cabin,78,67,1.164179104477612,18.597014925373134,269,0,0
/Baater/fleming-58,78,64,1.21875,50.796875,251,0,0
/Baater/nimbus-230r---bensin,78,57,1.368421052631579,40.8421052631579,146,0,0
/Baater/nimbus-34-nova,78,55,1.4181818181818182,41.96363636363636,246,0,0
/Baater/nimbus-c11,77,68,1.1323529411764706,58.48529411764706,155,0,0
/en/Baater/fairline-squadron-55,72,53,1.3584905660377358,65.39622641509433,244,0,0
/post/solgt-2000-viksund-290-310-st-cruz,71,52,1.3653846153846154,12.98076923076923,240,0,0
/post/sargo-25-for-salg,70,30,2.3333333333333335,30.1,210,0,0
/Baater/bavaria-40-vision,69,52,1.3269230769230769,77.53846153846153,221,0,0
/Baater/windy-26-kharma,68,47,1.446808510638298,35.340425531914896,221,0,0
/Baater/cormate-23-su---2022-shark-grey,67,35,1.9142857142857144,45.6,138,0,0
/Baater/dufour-385-grand-large,64,49,1.3061224489795917,56.16326530612245,210,1,0
/Baater/bostrøm-31-mki,63,53,1.1886792452830188,30.07547169811321,228,0,0
/Baater/goldfish-28-tender-merc-400r,63,58,1.0862068965517242,29.379310344827587,118,0,0
/Baater/goldfish-29-rib-tender---2009,61,52,1.1730769230769231,30.923076923076923,154,0,0
/Baater/nimbus-320-coupé,61,49,1.2448979591836735,27.836734693877553,208,1,0
/Baater/beneteau-figaro-2,60,47,1.2765957446808511,32.851063829787236,190,0,0
/Baater/fairline-phantom-48,59,48,1.2291666666666667,56.875,203,0,0
/Baater/nimbus-30s,59,43,1.372093023255814,48.348837209302324,196,0,0
/post/solgt-sandvik-945,59,40,1.475,14.225,192,0,0
/Baater/nimbus-33-nova,58,51,1.1372549019607843,24.84313725490196,205,0,0
/Baater/nimbus-280-coupé,57,40,1.425,19.725,165,0,0
/Baater/saxdor-320-gtc,57,46,1.2391304347826086,29.369565217391305,121,0,0
/en/sold,57,34,1.6764705882352942,47.294117647058826,81,0,0
/Baater/bavaria-44-vision,56,49,1.1428571428571428,20.612244897959183,194,0,0
/blogg/categories/ledig-stilling,55,40,1.375,57.25,114,0,0
/Baater/nimbus-250r,54,21,2.5714285714285716,23.857142857142858,141,1,0
/Baater/seaside-23---2023,54,46,1.173913043478261,25.043478260869566,122,0,0
/en/om-oss,54,44,1.2272727272727273,44.63636363636363,107,1,0
/post/månedens-båt-white-shark-298,54,45,1.2,27.955555555555556,188,0,0
/Baater/goldfish-29-rib-tender,53,48,1.1041666666666667,17.354166666666668,109,0,0
/Baater/lagoon-52-f,53,42,1.2619047619047619,59.785714285714285,108,0,0
/baatmegler,53,41,1.2926829268292683,19.390243902439025,157,0,0
/Baater/ryck-280-m/-mercury-verado-350hk,50,36,1.3888888888888888,54.97222222222222,86,0,0
/en/Baater/goldfish-28-tender-,50,34,1.4705882352941178,38.05882352941177,88,0,0
/Baater/anytec-860-spd,49,37,1.3243243243243243,24.486486486486488,178,0,0
/Baater/nimbus-w9---2020,49,32,1.53125,48.34375,91,0,0
/Baater/bavaria-37-ac,48,34,1.411764705882353,51,152,0,0
/Baater/nimbus-29-nova,48,39,1.2307692307692308,35.07692307692308,163,1,0
/post/yacht-i-middelhavet-mangusta-92,48,38,1.263157894736842,30.05263157894737,156,0,0
/en/charter,47,38,1.236842105263158,38.68421052631579,79,0,0
/Baater/cormate-t-27,45,36,1.25,21.97222222222222,157,0,0
/Baater/nimbus-305-drophead,44,39,1.1282051282051282,21.205128205128204,153,0,0
/Baater/chris-craft-25-corsair,43,28,1.5357142857142858,39.75,133,0,0
/Baater/jeanneau-so-49-ds,42,29,1.4482758620689655,36.758620689655174,134,0,0
/en/Baater/bavaria-330-sport-ht,42,34,1.2352941176470589,68.6470588235294,148,0,0
/post/månedens-båt-m-y-in-excess,42,35,1.2,19.314285714285713,116,0,0
/Baater/goldfish-29-sport,40,29,1.3793103448275863,22.655172413793103,113,0,0
/Baater/nimbus-250r-mkii,40,26,1.5384615384615385,39.69230769230769,110,0,0
/Baater/axopar-28-open-2019,39,29,1.3448275862068966,52.758620689655174,68,0,0
/Baater/dufour-44-performance,39,30,1.3,40.5,62,0,0
/en/Baater/fjord-terne-24,39,31,1.2580645161290323,26.774193548387096,130,0,0
/en/Baater/anker-&-jensen-8mr-1914-carmen-iv,38,27,1.4074074074074074,38.96296296296296,104,0,0
/en/Baater/colin-archer-40,37,25,1.48,141,95,0,0
/Baater/boston-whaler-190-outrage,36,28,1.2857142857142858,54.214285714285715,120,0,0
/Baater/marex-375,36,28,1.2857142857142858,26.357142857142858,120,0,0
/Baater/quicksilver-905-pilothouse,36,31,1.1612903225806452,11.290322580645162,117,0,0
/en/Baater/princess-415,36,29,1.2413793103448276,36.48275862068966,117,0,0
/post/månedens-båt-nimbus-r-serien,35,30,1.1666666666666667,61.53333333333333,119,0,0
/Baater/nordkapp-705-enduro,34,26,1.3076923076923077,16.5,105,0,0
/Baater/capelli-900-wa,33,30,1.1,30.5,53,0,0
/Baater/elan-37,33,26,1.2692307692307692,27.03846153846154,104,0,0
/Baater/bavaria-37-cruiser,32,16,2,27.375,94,0,0
/Baater/grandezza-27s,32,23,1.391304347826087,48,56,0,0
/Baater/goldfish-28-rib,31,24,1.2916666666666667,36.625,99,0,0
/post/kaptein-søkes-til-privat-yacht-ostlandet,31,28,1.1071428571428572,34.17857142857143,104,0,0
/Baater/fjord-40-open,30,28,1.0714285714285714,42.464285714285715,97,0,0
/Baater/marex-360-cc,30,27,1.1111111111111112,23.74074074074074,100,0,0
/Baater/marex-370-acc,30,24,1.25,20.708333333333332,107,0,0
/Baater/paragon-31-fly,30,20,1.5,56.55,54,1,0
/post/kjøpe-båt-i-utlandet,30,25,1.2,36.08,93,0,0
/post/skipper-til-dagcharter-søkes-til-45-fots-dayboat,30,26,1.1538461538461537,40.38461538461539,56,0,0
/Baater/goldfish-28-tender,29,22,1.3181818181818181,52.18181818181818,73,0,0
/Baater/axopar-28-open,28,28,1,27.607142857142858,101,0,0
/Baater/goldfish-29-sport---2020,28,23,1.2173913043478262,10.521739130434783,88,0,0
/Baater/goldfish-38-supersport,28,24,1.1666666666666667,27.833333333333332,79,0,0
/en/Baater/jeanneau-so-49-ds,28,13,2.1538461538461537,36,66,0,0
/en/Baater/riviera-925-fly,28,21,1.3333333333333333,49.095238095238095,97,0,0
/en/nautibuoy,28,19,1.4736842105263157,51.63157894736842,53,0,0
/Baater/grand-banks-47-heritage-eu,27,15,1.8,57.333333333333336,55,0,0
