wix_title,wix_url,wix_year,wix_updated,orig_status,deal_match,n_exact,n_loose,candidates
Bavaria 37 Cruiser,bavaria-37-cruiser,2006,2019-05-15,EXACT_SLUG_PLUS_SIG_DUPES,EXACT_MULTI,5,0,"EXACT id=351443213550 name=""Bavaria 37 Cruiser"" path=bavaria-37-cruiser year=None status=None #deals=1 ||| EXACT id=351443141841 name=""Bavaria 37 Cruiser"" path=bavaria-37-cruiser-3 year=None status=None #deals=1 ||| EXACT id=351443141849 name=""Bavaria 37 Cruiser"" path=bavaria-37-cruiser-2 year=None status=None #deals=1 ||| EXACT id=351443201227 name=""Bavaria 37 Cruiser"" path=bavaria-37-cruiser-4 year=None status=None #deals=1 ||| EXACT id=351446910180 name=""Bavaria 37 Cruiser"" path=bavaria-37-cruiser-6 year=2007 status=None #deals=1"
Windy 35 Khamsin,windy-35-khamsin,2007,2023-07-15,EXACT_SLUG_PLUS_SIG_DUPES,EXACT_1,1,0,"EXACT id=351443214533 name=""Windy 35 Khamsin"" path=windy-35-khamsin year=2008 status=None #deals=1"
Goldfish 28 Tender #001,goldfish-28-tender-%23001,2011,2025-06-11,MULTIPLE_SIG_CANDIDATES,LOOSE_MULTI,0,7,"LOOSE id=351443141853 name=""Goldfish 28 Tender"" path=goldfish-28-tender year=None status=None #deals=1 ||| LOOSE id=351482888432 name=""Goldfish 28 Tender"" path=goldfish-28-tender-2 year=None status=None #deals=1 ||| LOOSE id=351482888440 name=""Goldfish 28 Tender"" path=goldfish-28-tender-3 year= status=None #deals=1 ||| LOOSE id=351456244951 name=""Goldfish 28 Tender"" path=goldfish-28-tender-4 year=2022 status=for-sale #deals=2"
Windy 7500,windy-7500,2000,2020-04-22,SIGNATURE_MATCH_ONLY,NONE,0,0,
Bavaria 40 Cruiser,bavaria-40-cruiser,2011,2019-06-05,EXACT_SLUG_PLUS_SIG_DUPES,EXACT_1,1,0,"EXACT id=351443141854 name=""Bavaria 40 Cruiser"" path=bavaria-40-cruiser year=None status=None #deals=1"
Bavaria 40 Vision,bavaria-40-vision,2008,2022-07-05,EXACT_SLUG_PLUS_SIG_DUPES,EXACT_1,1,0,"EXACT id=351443310801 name=""Bavaria 40 Vision"" path=bavaria-40-vision year=None status=None #deals=1"
Goldfish 23 Tender - 2018,goldfish-23-tender---2018,2018,2023-04-16,MULTIPLE_SIG_CANDIDATES,LOOSE_MULTI,0,8,"LOOSE id=351479078079 name=""Goldfish 23 Tender 2023"" path=goldfish-23-tender-2023 year=2023 status=None #deals=1 ||| LOOSE id=351443201222 name=""Goldfish 23 Tender"" path=goldfish-23-tender year=None status=None #deals=1 ||| LOOSE id=351443310793 name=""Goldfish 23 Tender"" path=goldfish-23-tender-2 year=None status=None #deals=1 ||| LOOSE id=351443310794 name=""Goldfish 23 Tender"" path=goldfish-23-tender-5 year=None status=None #deals=1"
Dufour 44 Performance,dufour-44-performance,2006,2025-10-02,EXACT_SLUG_PLUS_SIG_DUPES,EXACT_1,1,0,"EXACT id=351419699394 name=""Dufour 44 performance"" path=dufour-44-performance-2 year=2006 status=None #deals=1"
Windy 28 Ghibli - 2001,windy-28-ghibli---2001,2001,2025-08-08,MULTIPLE_SIG_CANDIDATES,LOOSE_MULTI,0,3,"LOOSE id=351443141852 name=""Windy 28 Ghibli"" path=windy-28-ghibli year=None status=None #deals=1 ||| LOOSE id=351481042118 name=""Windy 28 Ghibli"" path=windy-28-ghibli-2 year=2008 status=None #deals=1 ||| LOOSE id=351484705002 name=""Windy 28 Ghibli"" path=windy-28-ghibli-3 year=2004 status=None #deals=2"
Nimbus 33 Nova,nimbus-33-nova,2003,2020-05-20,EXACT_SLUG_PLUS_SIG_DUPES,EXACT_1,1,0,"EXACT id=351388463332 name=""Nimbus 33 Nova"" path=nimbus-33-nova year=None status=None #deals=1"
Beneteau MC6S,beneteau-mc6s,2017,2023-07-28,MULTIPLE_SIG_CANDIDATES,NONE,0,0,
Nimbus 35 Nova HT,nimbus-35-nova-ht,2005,2019-10-24,EXACT_SLUG_PLUS_SIG_DUPES,EXACT_MULTI,3,0,"EXACT id=351443213551 name=""Nimbus 35 Nova HT"" path=nimbus-35-nova-ht year=None status=None #deals=1 ||| EXACT id=351443141858 name=""Nimbus 35 Nova HT"" path=nimbus-35-nova-ht-2 year=None status=None #deals=1 ||| EXACT id=351482888429 name=""Nimbus 35 Nova HT"" path=nimbus-35-nova-ht-3 year=None status=None #deals=1"
Hydrolift X-32S R,hydrolift-x-32s-r,2021,2025-09-12,EXACT_SLUG_PLUS_SIG_DUPES,EXACT_1,1,0,"EXACT id=351446935769 name=""Hydrolift X-32S R"" path=hydrolift-x-32s-r year=2021 status=for-sale #deals=1"
Timeless Nordic,timeless-34-nordic,2018,2025-05-07,NO_MATCH_IN_HUBSPOT,NONE,0,0,
Beneteau Oceanis 37,beneteau-oceanis-37,2012,2025-10-30,EXACT_SLUG_PLUS_SIG_DUPES,NONE,0,0,
Goldfish 38 SuperSport,goldfish-38-supersport,2016,2024-08-30,EXACT_SLUG_PLUS_SIG_DUPES,NONE,0,0,
Fairline Targa 37,fairline-targa-37,1999,2025-10-02,EXACT_SLUG_PLUS_SIG_DUPES,NONE,0,0,
Nimbus W9 - 2020,nimbus-w9---2020,2020,2025-10-02,MULTIPLE_SIG_CANDIDATES,LOOSE_1,0,1,"LOOSE id=351443201238 name=""Nimbus W9"" path=nimbus-w9 year=2020 status=for-sale #deals=1"
Axopar 37 Cabin,axopar-37-cabin,2018,2020-02-03,EXACT_SLUG_PLUS_SIG_DUPES,NONE,0,0,
Ibiza 811 Touring,ibiza-811-touring,2017,2026-01-05,EXACT_SLUG_PLUS_SIG_DUPES,EXACT_1,1,0,"EXACT id=351361855723 name=""Ibiza 811 Touring"" path=ibiza-811-touring-2 year=2022 status=for-sale #deals=2"
Bavaria S36 HT,bavaria-s36-ht,2020,2025-05-19,EXACT_SLUG_PLUS_SIG_DUPES,EXACT_1,1,0,"EXACT id=351456244953 name=""Bavaria S36 HT"" path=bavaria-s36-ht year=2020 status=None #deals=1"
Anker & Jensen 8mR 1914 Carmen IV,anker-%26-jensen-8mr-1914-carmen-iv,1914,2021-12-28,NO_MATCH_IN_HUBSPOT,NONE,0,0,
Goldfish 28 Tender #057,goldfish-28-tender-%23057,2022,2025-10-30,MULTIPLE_SIG_CANDIDATES,LOOSE_MULTI,0,7,"LOOSE id=351443141853 name=""Goldfish 28 Tender"" path=goldfish-28-tender year=None status=None #deals=1 ||| LOOSE id=351482888432 name=""Goldfish 28 Tender"" path=goldfish-28-tender-2 year=None status=None #deals=1 ||| LOOSE id=351482888440 name=""Goldfish 28 Tender"" path=goldfish-28-tender-3 year= status=None #deals=1 ||| LOOSE id=351456244951 name=""Goldfish 28 Tender"" path=goldfish-28-tender-4 year=2022 status=for-sale #deals=2"
Windy 44 Chinook,windy-44-chinook,2010,2019-07-16,MULTIPLE_SIG_CANDIDATES,NONE,0,0,
Windy 35 Khamsin 2008 D6-370,windy-35-khamsin-2008-d6-370,2008,2025-08-08,MULTIPLE_SIG_CANDIDATES,LOOSE_1,0,1,"LOOSE id=351443214533 name=""Windy 35 Khamsin"" path=windy-35-khamsin year=2008 status=None #deals=1"
Jeanneau Sun Odyssey 36i,jeanneau-sun-odyssey-36i,2008,2025-10-02,EXACT_SLUG_PLUS_SIG_DUPES,NONE,0,0,
Nimbus T9,nimbus-t9,2019,2025-10-02,EXACT_SLUG_PLUS_SIG_DUPES,EXACT_1,1,0,"EXACT id=351484705016 name=""Nimbus T9"" path=nimbus-t9 year=2019 status=None #deals=1"
Cormate 35 Chase,cormate-35-chase,2023,2025-09-08,MULTIPLE_SIG_CANDIDATES,NONE,0,0,
Baltic Kragerø 34,baltic-krager%C3%B8-34,2002,2025-08-08,NO_MATCH_IN_HUBSPOT,NONE,0,0,
Lagoon 52 F,lagoon-52-f,2018,2025-10-13,MULTIPLE_SIG_CANDIDATES,LOOSE_1,0,1,"LOOSE id=351414280424 name=""Lagoon 52F"" path=lagoon-52f year=2018 status=for-sale #deals=1"
Goldfish 30 Sport #16,goldfish-30-sport-%2316,2021,2025-04-25,MULTIPLE_SIG_CANDIDATES,LOOSE_MULTI,0,5,"LOOSE id=351479119073 name=""Goldfish 30 Sport - 2023"" path=goldfish-30-sport-2023 year=2023 status=None #deals=1 ||| LOOSE id=351481042122 name=""Goldfish 30 Sport"" path=goldfish-30-sport year=2022 status=None #deals=1 ||| LOOSE id=351481042124 name=""Goldfish 30 Sport"" path=goldfish-30-sport-2 year=2022 status=None #deals=1 ||| LOOSE id=351482911944 name=""Goldfish 30 Sport"" path=goldfish-30-sport-3 year=2021 status=sold #deals=1"
Jeanneau SO 49 DS,jeanneau-so-49-ds,2005,2020-02-06,SIGNATURE_MATCH_ONLY,NONE,0,0,
Askeladden C80 Cruiser,askeladden-c80-cruiser,2021,2024-06-06,EXACT_SLUG_PLUS_SIG_DUPES,EXACT_1,1,0,"EXACT id=351481028825 name=""Askeladden c80 Cruiser"" path=askeladden-c80-cruiser year=2021 status=None #deals=1"
Nimbus 30s,nimbus-30s,2008,2019-05-15,EXACT_SLUG_PLUS_SIG_DUPES,EXACT_1,1,0,"EXACT id=351459866845 name=""Nimbus 30S"" path=nimbus-30s year=None status=None #deals=1"
Axopar 28 Open,axopar-28-open,2019,2020-06-05,EXACT_SLUG_PLUS_SIG_DUPES,EXACT_MULTI,2,1,"EXACT id=351443310785 name=""Axopar 28 Open"" path=axopar-28-open year=None status=None #deals=1 ||| EXACT id=351479119062 name=""Axopar 28 Open"" path=axopar-28-open-2 year=2019 status=None #deals=1 ||| LOOSE id=351481028819 name=""Axopar 28 Open - 2017"" path=axopar-28-open-2017 year=2017 status=None #deals=1"
Goldfish 23 Tender 2017,goldfish-23-tender-2017,2017,2020-09-12,MULTIPLE_SIG_CANDIDATES,LOOSE_MULTI,0,8,"LOOSE id=351479078079 name=""Goldfish 23 Tender 2023"" path=goldfish-23-tender-2023 year=2023 status=None #deals=1 ||| LOOSE id=351443201222 name=""Goldfish 23 Tender"" path=goldfish-23-tender year=None status=None #deals=1 ||| LOOSE id=351443310793 name=""Goldfish 23 Tender"" path=goldfish-23-tender-2 year=None status=None #deals=1 ||| LOOSE id=351443310794 name=""Goldfish 23 Tender"" path=goldfish-23-tender-5 year=None status=None #deals=1"
Nimbus 250R,nimbus-250r,2005,2020-06-26,EXACT_SLUG_PLUS_SIG_DUPES,EXACT_MULTI,6,0,"EXACT id=351443213547 name=""Nimbus 250R"" path=nimbus-250r-2 year=None status=None #deals=1 ||| EXACT id=351443213557 name=""Nimbus 250R"" path=nimbus-250r year=None status=None #deals=1 ||| EXACT id=351388463324 name=""Nimbus 250R"" path=nimbus-250r-3 year=None status=None #deals=1 ||| EXACT id=351443141851 name=""Nimbus 250R"" path=nimbus-250r-4 year=None status=None #deals=1 ||| EXACT id=351443201220 name=""Nimbus 250R"" path=nimbus-250r-5 year=None status=None #deals=1 ||| EXACT id=351443310786 name=""Nimbus 250R"" path=nimbus-250r-6 year=None status=None #deals=1"
Nordkapp 760 Noblesse,nordkapp-760-noblesse,2011,2021-04-16,SIGNATURE_MATCH_ONLY,NONE,0,0,
Princess 25M,princess-25m,2003,2021-05-03,EXACT_SLUG_PLUS_SIG_DUPES,EXACT_1,1,0,"EXACT id=351482888418 name=""Princess 25m"" path=princess-25m year=None status=None #deals=1"
Beneteau 41 Swift Trawler Sedan,beneteau-41-swift-trawler-sedan,2021,2025-09-12,MULTIPLE_SIG_CANDIDATES,NONE,0,0,
Sandvik 945,sandvik-945,2012,2025-07-23,EXACT_SLUG_PLUS_SIG_DUPES,EXACT_MULTI,2,0,"EXACT id=351482888434 name=""Sandvik 945"" path=sandvik-945 year=None status=None #deals=1 ||| EXACT id=351443171557 name=""Sandvik 945"" path=sandvik-945-2 year=2012 status=None #deals=1"
