wix-to-hubspot-match-report
Keep;wix_title;wix_url;wix_merke;wix_modell;wix_year;wix_length_ft;wix_sold;wix_updated;match_status;slug_matches;signature_matches;match_details
X;Beneteau Figaro 2;beneteau-figaro-2;Beneteau;Figaro 2;2003;33 fot;sold;2022-06-08;EXACT_SLUG_PLUS_SIG_DUPES;1;3;id=351443310800 path=beneteau-figaro-2 brand=Beneteau model=Beneteau Figaro 2 year=None status=None act=yes ||| id=351443280102 path=23021-beneteau-oceanis-473 brand=Beneteau model=Oceanis year=2003 status=None act=yes ||| id=351443280114 path=23029-beneteau-oceanis-clipper-361 brand=Beneteau model=23029 - Beneteau Oceanis Clipper 361 year=2003 status=None act=yes ||| id=351446910177 path=beneteau-oceanis-473-2 brand=Beneteau model=Oceanis 473 year=2003 status=None act=yes
X;Nordkapp 905 Grand Coupe;nordkapp-905-grand-coupe;Nordkapp;905 Gran Coupe;2021;30 fot;;2025-08-26;EXACT_SLUG_PLUS_SIG_DUPES;1;4;id=351443214549 path=nordkapp-905-grand-coupe brand=Nordkapp model=Nordkapp 905 grand coupe year=2023 status=None act=yes ||| id=351479119067 path=nordkapp-noblesse-720 brand=Nordkapp model=Noblesse 720 year=2021 status=None act=yes ||| id=351482911932 path=nordkapp-gran-coupe-905-2 brand=Nordkapp model=Nordkapp Gran Coupe 905 year=2021 status=None act=yes ||| id=351443262703 path=nordkapp-905-grand-coupe-2 brand=Nordkapp model=905 Grand Coupe year=2021 status=None act=yes ||| id=351446935767 path=nordkapp-905-grand-coupe-3 brand=Nordkapp model=Nordkapp 905 Grand Coupe year=2021 status=None act=yes
X;Marex 375;marex-375;Marex;375;2021;40 fot;sold;2023-04-16;EXACT_SLUG_PLUS_SIG_DUPES;1;4;id=351482888417 path=marex-375 brand=Marex model=Marex 375 year=None status=None act=yes ||| id=351443141848 path=marex-360cc brand=Marex model=Marex 360CC year=2021 status=None act=yes ||| id=351443171562 path=marex-310-sun-cruiser brand=Marex model=310 Sun Cruiser year=2021 status=None act=yes ||| id=351414280439 path=marex-310-sc brand=Marex model=Marex 310 SC year=2021 status=None act=yes ||| id=350048534723 path=marex-360-cc brand=Marex model=Marex 360 CC year=2021 status=None act=yes
;Goldfish 28 Bullet #020;goldfish-28-bullet-%23020;Goldfish;28 Bullet;2020;28 fot;sold;2025-06-18;MULTIPLE_SIG_CANDIDATES;0;5;id=351482889408 path=23002-goldfish-23-tender brand=Goldfish model=23 Tender year=2020 status=None act=yes ||| id=351456244954 path=24019-goldfish-28-tender-2x450 brand=Goldfish model=28 Tender year=2020 status=None act=yes ||| id=351390252278 path=goldfish-23 brand=Goldfish model=Goldfish 23 year=2020 status=None act=yes ||| id=351484720359 path=goldfish-29-sport-4 brand=Goldfish model=Goldfish 29 sport year=2020 status=None act=yes ||| id=351443090620 path=goldfish-28-bullet-3 brand=Goldfish model=28 Bullet year=2020 status=None act=yes
X;Goldfish 29 Sport;goldfish-29-sport;Goldfish;29 Sport;2018;30 fot;sold;2020-06-05;EXACT_SLUG_PLUS_SIG_DUPES;1;2;id=351443213561 path=goldfish-29-sport brand=Goldfish model=Goldfish 29 Sport year=None status=None act=yes ||| id=351414280426 path=goldfish-38-supersport brand=Goldfish model=38 supersport year=2018 status=None act=yes ||| id=351482911936 path=goldfish-38-supersport-021 brand=Goldfish model=38 SuperSport #021 year=2018 status=for-sale act=yes
;Nimbus 230 R;nimbus-230-r;Nimbus;230 R;2003;23 fot;sold;2019-07-18;MULTIPLE_SIG_CANDIDATES;0;6;id=351443293420 path=nimbus-33-nova-2 brand=Nimbus model=Nimbus 33 Nova year=2003 status=None act=yes ||| id=351390253245 path=nimbus-nova-300r brand=Nimbus model=Nimbus Nova 300R year=2003 status=None act=yes ||| id=351484720356 path=nimbus-nova-33 brand=Nimbus model=Nimbus Nova 33 year=2003 status=None act=yes ||| id=351481095403 path=nimbus-33-nova-3 brand=Nimbus model=Nimbus 33 Nova year=2003 status=None act=yes ||| id=351481058537 path=nimbus-nova-33-2 brand=Nimbus model=Nimbus Nova 33 year=2003 status=None act=yes ||| id=351443185871 path=nimbus-nova-230r brand=Nimbus model=Nova 230R year=2003 status=None act=yes
;Cormate 23 SU - 2022 Shark Grey;cormate-23-su---2022-shark-grey;Cormate 23 Super Utility;2022;2022;23 fot;sold;2025-06-11;NO_MATCH_IN_HUBSPOT;0;0;
?;Goldfish 30 Sport;goldfish-30-sport;Goldfish;30 Sport;2022;32 fot;sold;2024-03-05;EXACT_SLUG_PLUS_SIG_DUPES;1;5;id=351481042122 path=goldfish-30-sport brand=Goldfish model=30 Sport year=2022 status=None act=yes ||| id=351481042124 path=goldfish-30-sport-2 brand=Goldfish model=30 Sport year=2022 status=None act=yes ||| id=351456244951 path=goldfish-28-tender-4 brand=Goldfish model=28 Tender year=2022 status=for-sale act=yes ||| id=351419699407 path=goldfish-28-tender-064 brand=Goldfish model=28 Tender year=2022 status=None act=yes ||| id=351443201246 path=goldfish-x9-expedition brand=Goldfish model=Goldfish X9 Expedition  year=2022 status=None act=yes ||| id=351445109976 path=goldfish-28-tender-8 brand=Goldfish model=28 Tender year=2022 status=None act=yes
;"Comtesse ""Liberty""";comtesse-%22liberty%22;Ostseewerft Karl Vertens;Comtesse;1967;49 fot;sold;2021-11-10;NO_MATCH_IN_HUBSPOT;0;0;
;Sargo 25;sargo-25;Sargo;25;2018;25 fot;sold;2020-09-12;NO_MATCH_IN_HUBSPOT;0;0;
;Bavaria 360 Sport Open;bavaria-360-sport-open;Bavaria;360 Sport Open;2015;38 fot;sold;2019-05-15;EXACT_SLUG_MATCH;1;0;id=351443201217 path=bavaria-360-sport-open brand=Bavaria model=Bavaria 360 Sport Open year=None status=None act=yes
